Application_ID,Source of detection,Identified Phishing/Suspected Domain Name,Corresponding CSE Domain Name,Critical Sector Entity Name,Phishing/Suspected Domains (i.e. Class Label),Date of detection (DD-MM-YYYY),Time of detection (HH-MM-SS),Remarks
,dnstwist_dns_active,http://irindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.956522;source_file=dnstwist
,dnstwist_dns_active,http://aairindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://aiirindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airiindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airinddia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://airrindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.960000;source_file=dnstwist
,dnstwist_dns_active,http://aifindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://sirindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aitindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airindja.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aurindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://ai4india.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aidindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airindoa.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airindua.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airinsia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airundia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aieindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://ai.rindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.909091;source_file=dnstwist
,dnstwist_dns_active,http://airind.ia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.860000;source_file=dnstwist
,dnstwist_dns_active,http://airinida.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aiirndia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airidnia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airnidia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://ariindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://iarindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://airindai.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://aerindia.com,airindia.com,Air India,Unlabeled,03-05-2026,,cse_match_score=0.916667;source_file=dnstwist
,dnstwist_dns_active,http://fsnl.co.in,bsnl.co.in,Bharat Sanchar Nigam Limited (BSNL),Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
,dnstwist_dns_active,http://rsnl.co.in,bsnl.co.in,Bharat Sanchar Nigam Limited (BSNL),Unlabeled,03-05-2026,,cse_match_score=0.900000;source_file=dnstwist
